Label,Precision,Recall,F1,Support
gratitude,0.9514,0.8892,0.9192,352
amusement,0.8132,0.8409,0.8268,264
love,0.7831,0.8193,0.8008,238
admiration,0.6986,0.6944,0.6965,504
remorse,0.6167,0.6607,0.6379,56
neutral,0.7153,0.5708,0.6349,1787
fear,0.7288,0.5513,0.6277,78
joy,0.6532,0.5031,0.5684,161
optimism,0.7232,0.4355,0.5436,186
surprise,0.6774,0.4468,0.5385,141
sadness,0.6907,0.4295,0.5296,156
disgust,0.7778,0.3415,0.4746,123
anger,0.6303,0.3788,0.4732,198
curiosity,0.5526,0.3697,0.443,284
excitement,0.7317,0.2913,0.4167,103
confusion,0.6053,0.3007,0.4017,153
desire,0.697,0.2771,0.3966,83
caring,0.6167,0.2741,0.3795,135
approval,0.586,0.2621,0.3622,351
disapproval,0.5238,0.2472,0.3359,267
embarrassment,0.8,0.1081,0.1905,37
disappointment,0.7647,0.0861,0.1548,151
annoyance,0.5957,0.0875,0.1526,320
realization,0.7857,0.0759,0.1384,145
grief,0.0,0.0,0.0,6
nervousness,0.0,0.0,0.0,23
pride,0.0,0.0,0.0,16
relief,0.0,0.0,0.0,11
